"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2013","Homicide Firearm","2000","61","3405565","1.79"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2013","Homicide Firearm","2000","P","783600","."
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2013","Homicide Firearm","2000","138","572059","24.12"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2013","Homicide Firearm","2000","467","15982378","2.92"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2013","Homicide Firearm","2000","442","8186453","5.4"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2013","Homicide Firearm","2000","P","1211537","."
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2013","Homicide Firearm","2000","14","1293953","1.08"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2013","Homicide Firearm","2000","674","12419293","5.43"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2013","Homicide Firearm","2000","218","6080485","3.59"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2013","Homicide Firearm","2000","25","2926324","0.85"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2013","Homicide Firearm","2000","101","2688418","3.76"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2013","Homicide Firearm","2000","133","4041769","3.29"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2013","Homicide Firearm","2000","427","4468976","9.55"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2013","Homicide Firearm","2000","11","1274923","0.86"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2013","Homicide Firearm","2000","353","5296486","6.66"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2013","Homicide Firearm","2000","67","6349097","1.06"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2013","Homicide Firearm","2000","504","9938444","5.07"
